City,FamilyIncome,HouseAge,AveRooms,AveBedrms,NumMembers,AveOccup,Latitude,Longitude,Price
Kolkata,1316000.0,10,3,2,1,3.7,22.5726,88.3639,92000.0
Kolkata,2181000.0,7,4,3,7,1.6,22.5726,88.3639,125000.0
Hyderabad,3612000.0,41,3,1,3,3.0,17.385,78.4867,288000.0
Pune,4735000.0,25,1,1,5,1.9,18.5204,73.8567,175000.0
Ahmedabad,2020000.0,26,3,1,5,4.0,23.0225,72.5714,110000.0
Kolkata,671000.0,48,5,2,7,3.7,22.5726,88.3639,60000.0
Chennai,1685000.0,4,2,1,9,3.6,13.0827,80.2707,79000.0
Pune,4397000.0,7,5,3,3,3.6,18.5204,73.8567,258000.0
Hyderabad,4138000.0,13,2,1,1,1.2,17.385,78.4867,349000.0
Pune,3397000.0,33,5,2,8,3.2,18.5204,73.8567,156000.0
Chennai,2059000.0,13,4,2,3,3.1,13.0827,80.2707,65000.0
Jaipur,2984000.0,31,2,1,6,3.5,26.9124,75.7873,194000.0
Lucknow,3444000.0,34,4,3,7,1.2,26.8467,80.9462,295000.0
Kolkata,2849000.0,43,3,1,2,3.4,22.5726,88.3639,222000.0
Chennai,1334000.0,29,2,1,2,4.3,13.0827,80.2707,49000.0
Chennai,4719000.0,22,2,1,7,4.6,13.0827,80.2707,468000.0
Lucknow,4967000.0,25,3,2,9,3.0,26.8467,80.9462,228000.0
Bangalore,1381000.0,12,3,2,4,2.8,12.9716,77.5946,69000.0
Kolkata,1573000.0,30,3,1,6,1.2,22.5726,88.3639,117000.0
Kolkata,215000.0,28,3,1,1,3.8,22.5726,88.3639,15000.0
Delhi,4685000.0,31,4,2,7,2.5,28.7041,77.1025,343000.0
Ahmedabad,2731000.0,18,1,1,1,2.9,23.0225,72.5714,245000.0
Jaipur,2616000.0,35,4,2,2,4.9,26.9124,75.7873,94000.0
Hyderabad,1705000.0,18,5,3,8,1.2,17.385,78.4867,95000.0
Mumbai,2936000.0,34,4,3,2,2.8,19.076,72.8777,274000.0
Delhi,610000.0,20,5,2,1,3.2,28.7041,77.1025,39000.0
Delhi,3853000.0,36,4,1,7,4.9,28.7041,77.1025,150000.0
Mumbai,3276000.0,16,4,2,7,4.8,19.076,72.8777,317000.0
Chennai,651000.0,32,4,3,4,2.8,13.0827,80.2707,49000.0
Bangalore,1372000.0,23,2,1,5,3.3,12.9716,77.5946,128000.0
Pune,1725000.0,18,5,4,1,1.4,18.5204,73.8567,88000.0
Pune,3352000.0,19,1,1,2,3.1,18.5204,73.8567,237000.0
Delhi,982000.0,24,3,1,8,2.1,28.7041,77.1025,89000.0
Chennai,1943000.0,23,4,1,6,4.7,13.0827,80.2707,90000.0
Bangalore,2154000.0,38,2,1,5,2.4,12.9716,77.5946,148000.0
Kolkata,3425000.0,44,3,2,4,1.3,22.5726,88.3639,199000.0
Pune,4418000.0,5,1,1,7,4.5,18.5204,73.8567,246000.0
Delhi,1417000.0,45,2,1,4,2.8,28.7041,77.1025,97000.0
Mumbai,2828000.0,33,5,2,7,3.0,19.076,72.8777,110000.0
Delhi,4434000.0,11,3,1,3,2.4,28.7041,77.1025,211000.0
Bangalore,3303000.0,46,5,1,4,1.6,12.9716,77.5946,203000.0
Mumbai,3164000.0,45,3,1,7,3.9,19.076,72.8777,155000.0
Chennai,2310000.0,37,1,1,7,4.8,13.0827,80.2707,74000.0
Bangalore,1938000.0,43,5,1,2,2.3,12.9716,77.5946,150000.0
Delhi,1300000.0,35,5,4,9,3.8,28.7041,77.1025,92000.0
Chennai,2725000.0,16,3,2,3,1.1,13.0827,80.2707,199000.0
Jaipur,1271000.0,1,4,3,2,3.2,26.9124,75.7873,109000.0
Bangalore,2686000.0,15,1,1,6,4.9,12.9716,77.5946,195000.0
Hyderabad,2668000.0,46,3,2,6,4.9,17.385,78.4867,85000.0
Bangalore,2764000.0,48,2,1,1,1.0,12.9716,77.5946,88000.0
Lucknow,4623000.0,6,5,4,9,4.0,26.8467,80.9462,174000.0
Lucknow,4839000.0,35,1,1,8,4.9,26.8467,80.9462,394000.0
Bangalore,898000.0,5,1,1,6,3.6,12.9716,77.5946,31000.0
Ahmedabad,1144000.0,7,1,1,1,1.2,23.0225,72.5714,103000.0
Mumbai,2363000.0,7,4,1,6,1.1,19.076,72.8777,121000.0
Chennai,2920000.0,41,2,1,6,1.4,13.0827,80.2707,273000.0
Ahmedabad,3039000.0,49,3,1,3,5.0,23.0225,72.5714,201000.0
Chennai,1787000.0,39,4,2,1,1.7,13.0827,80.2707,54000.0
Lucknow,4765000.0,16,2,1,7,4.1,26.8467,80.9462,218000.0
Pune,1172000.0,23,3,1,3,4.6,18.5204,73.8567,51000.0
Ahmedabad,1774000.0,24,2,1,6,2.7,23.0225,72.5714,123000.0
Chennai,4943000.0,39,5,1,9,2.4,13.0827,80.2707,271000.0
Jaipur,1579000.0,1,1,1,4,4.4,26.9124,75.7873,92000.0
Kolkata,1154000.0,42,3,2,9,2.8,22.5726,88.3639,74000.0
Mumbai,4171000.0,38,2,1,8,1.8,19.076,72.8777,135000.0
Delhi,1147000.0,4,5,4,6,4.9,28.7041,77.1025,81000.0
Delhi,4398000.0,35,1,1,3,1.5,28.7041,77.1025,235000.0
Hyderabad,4684000.0,15,4,2,1,4.6,17.385,78.4867,299000.0
Ahmedabad,3299000.0,47,4,3,8,4.9,23.0225,72.5714,205000.0
Kolkata,1620000.0,1,1,1,7,4.7,22.5726,88.3639,98000.0
Mumbai,4835000.0,17,1,1,6,3.9,19.076,72.8777,257000.0
Delhi,3462000.0,6,4,2,8,3.0,28.7041,77.1025,255000.0
Delhi,2244000.0,29,1,1,2,3.5,28.7041,77.1025,152000.0
Bangalore,2725000.0,19,1,1,7,4.5,12.9716,77.5946,263000.0
Mumbai,736000.0,49,3,1,5,4.2,19.076,72.8777,47000.0
Mumbai,2332000.0,27,4,1,9,3.1,19.076,72.8777,81000.0
Chennai,4379000.0,4,5,1,2,3.5,13.0827,80.2707,305000.0
Delhi,1271000.0,1,1,1,5,2.5,28.7041,77.1025,112000.0
Mumbai,4550000.0,1,2,1,6,4.8,19.076,72.8777,274000.0
Kolkata,1163000.0,10,5,4,2,1.0,22.5726,88.3639,70000.0
Hyderabad,856000.0,47,4,3,6,2.8,17.385,78.4867,64000.0
Kolkata,4817000.0,8,4,1,5,3.2,22.5726,88.3639,353000.0
Hyderabad,2197000.0,10,2,1,2,2.3,17.385,78.4867,197000.0
Mumbai,4370000.0,31,2,1,5,2.0,19.076,72.8777,138000.0
Ahmedabad,4537000.0,49,3,1,7,2.3,23.0225,72.5714,435000.0
Delhi,4331000.0,38,5,2,2,3.3,28.7041,77.1025,347000.0
Chennai,2309000.0,25,3,2,6,3.9,13.0827,80.2707,120000.0
Bangalore,2537000.0,45,4,3,1,4.3,12.9716,77.5946,123000.0
Hyderabad,2461000.0,1,1,1,8,2.3,17.385,78.4867,90000.0
Ahmedabad,4242000.0,39,3,2,4,1.2,23.0225,72.5714,300000.0
Chennai,1879000.0,4,3,2,8,2.5,13.0827,80.2707,180000.0
Mumbai,3924000.0,3,4,3,6,2.5,19.076,72.8777,250000.0
Lucknow,3070000.0,49,5,2,7,2.9,26.8467,80.9462,229000.0
Pune,3116000.0,28,5,2,9,3.3,18.5204,73.8567,214000.0
Jaipur,4213000.0,29,4,1,7,3.8,26.9124,75.7873,305000.0
Bangalore,840000.0,22,4,2,3,2.1,12.9716,77.5946,31000.0
Pune,550000.0,4,5,2,8,3.4,18.5204,73.8567,26000.0
Kolkata,4506000.0,40,1,1,9,1.6,22.5726,88.3639,421000.0
Jaipur,2309000.0,2,2,1,9,1.3,26.9124,75.7873,230000.0
Pune,1493000.0,34,3,2,1,3.8,18.5204,73.8567,134000.0
Kolkata,2238000.0,34,4,3,2,1.1,22.5726,88.3639,143000.0
Mumbai,4699000.0,5,3,2,3,2.9,19.076,72.8777,200000.0
Delhi,1207000.0,34,3,1,6,2.7,28.7041,77.1025,76000.0
Lucknow,624000.0,16,2,1,6,3.2,26.8467,80.9462,46000.0
Chennai,1577000.0,9,3,1,5,2.3,13.0827,80.2707,89000.0
Mumbai,2367000.0,14,3,2,8,2.8,19.076,72.8777,218000.0
Kolkata,1834000.0,17,1,1,4,2.1,22.5726,88.3639,60000.0
Pune,1670000.0,30,2,1,8,3.0,18.5204,73.8567,85000.0
Delhi,300000.0,49,2,1,3,1.7,28.7041,77.1025,16000.0
Ahmedabad,4939000.0,3,1,1,9,3.1,23.0225,72.5714,477000.0
Chennai,3080000.0,24,5,4,6,3.8,13.0827,80.2707,150000.0
Jaipur,4213000.0,5,3,2,4,3.7,26.9124,75.7873,396000.0
Pune,3610000.0,24,1,1,4,3.1,18.5204,73.8567,227000.0
Lucknow,1496000.0,2,2,1,3,1.2,26.8467,80.9462,89000.0
Ahmedabad,2682000.0,22,5,2,5,3.5,23.0225,72.5714,263000.0
Delhi,3212000.0,3,1,1,6,5.0,28.7041,77.1025,101000.0
Mumbai,4822000.0,18,3,1,8,4.5,19.076,72.8777,267000.0
Delhi,2682000.0,18,1,1,3,5.0,28.7041,77.1025,111000.0
Pune,4784000.0,29,1,1,1,1.4,18.5204,73.8567,309000.0
Chennai,494000.0,8,1,1,5,2.8,13.0827,80.2707,32000.0
Hyderabad,638000.0,25,2,1,1,3.8,17.385,78.4867,49000.0
Jaipur,1505000.0,8,1,1,8,4.4,26.9124,75.7873,60000.0
Lucknow,257000.0,10,5,2,9,4.4,26.8467,80.9462,19000.0
Delhi,1364000.0,3,2,1,5,4.3,28.7041,77.1025,50000.0
Pune,4655000.0,20,2,1,8,1.3,18.5204,73.8567,252000.0
Delhi,301000.0,8,4,1,7,3.1,28.7041,77.1025,17000.0
Mumbai,1339000.0,16,1,1,5,4.9,19.076,72.8777,80000.0
Mumbai,416000.0,25,3,2,7,4.2,19.076,72.8777,19000.0
Ahmedabad,210000.0,10,4,3,8,1.8,23.0225,72.5714,11000.0
Ahmedabad,4865000.0,31,4,3,6,4.2,23.0225,72.5714,227000.0
Kolkata,4430000.0,3,1,1,5,4.7,22.5726,88.3639,406000.0
Jaipur,1816000.0,9,5,4,9,2.5,26.9124,75.7873,158000.0
Delhi,425000.0,4,3,1,6,3.1,28.7041,77.1025,41000.0
Mumbai,3697000.0,29,2,1,3,2.3,19.076,72.8777,219000.0
Bangalore,1710000.0,41,1,1,7,4.1,12.9716,77.5946,68000.0
Bangalore,286000.0,40,1,1,4,4.3,12.9716,77.5946,21000.0
Pune,751000.0,49,3,1,2,4.5,18.5204,73.8567,58000.0
Pune,459000.0,33,1,1,3,3.1,18.5204,73.8567,29000.0
Ahmedabad,3130000.0,11,3,1,9,1.1,23.0225,72.5714,170000.0
Ahmedabad,2470000.0,45,2,1,2,1.0,23.0225,72.5714,179000.0
Bangalore,2282000.0,41,2,1,6,1.4,12.9716,77.5946,90000.0
Jaipur,3598000.0,36,3,1,1,2.4,26.9124,75.7873,152000.0
Hyderabad,2022000.0,39,4,1,8,2.6,17.385,78.4867,87000.0
Delhi,454000.0,24,5,3,5,5.0,28.7041,77.1025,30000.0
Lucknow,844000.0,35,2,1,1,1.3,26.8467,80.9462,44000.0
Chennai,2369000.0,5,1,1,6,1.8,13.0827,80.2707,193000.0
Lucknow,2846000.0,46,2,1,6,3.5,26.8467,80.9462,195000.0
Hyderabad,1045000.0,48,4,2,6,3.6,17.385,78.4867,32000.0
Delhi,3216000.0,40,4,2,7,2.8,28.7041,77.1025,199000.0
Jaipur,2660000.0,38,4,1,4,1.2,26.9124,75.7873,102000.0
Mumbai,4104000.0,39,5,4,8,2.7,19.076,72.8777,161000.0
Bangalore,4855000.0,48,1,1,3,2.2,12.9716,77.5946,311000.0
Chennai,3640000.0,18,4,2,6,4.1,13.0827,80.2707,353000.0
Ahmedabad,2645000.0,48,4,1,1,2.4,23.0225,72.5714,122000.0
Hyderabad,962000.0,3,5,2,1,2.1,17.385,78.4867,44000.0
Bangalore,986000.0,46,4,2,7,3.3,12.9716,77.5946,57000.0
Hyderabad,606000.0,35,2,1,3,2.0,17.385,78.4867,36000.0
Hyderabad,271000.0,7,2,1,8,3.9,17.385,78.4867,9000.0
Hyderabad,4332000.0,42,5,2,1,3.3,17.385,78.4867,138000.0
Delhi,4099000.0,30,5,1,2,4.9,28.7041,77.1025,265000.0
Lucknow,2684000.0,4,1,1,6,4.0,26.8467,80.9462,115000.0
Ahmedabad,1067000.0,27,5,2,5,4.8,23.0225,72.5714,96000.0
Bangalore,2839000.0,11,4,2,6,2.3,12.9716,77.5946,139000.0
Chennai,939000.0,47,2,1,3,1.5,13.0827,80.2707,32000.0
Jaipur,3957000.0,40,5,3,6,2.7,26.9124,75.7873,291000.0
Ahmedabad,1162000.0,40,1,1,2,3.0,23.0225,72.5714,50000.0
Lucknow,4469000.0,32,4,3,7,3.9,26.8467,80.9462,141000.0
Hyderabad,2834000.0,11,2,1,6,1.6,17.385,78.4867,243000.0
Hyderabad,2425000.0,15,1,1,5,2.4,17.385,78.4867,166000.0
Mumbai,2699000.0,44,3,1,8,1.0,19.076,72.8777,127000.0
Pune,1253000.0,6,3,2,7,3.2,18.5204,73.8567,104000.0
Mumbai,3662000.0,15,2,1,6,1.6,19.076,72.8777,271000.0
Pune,4185000.0,20,1,1,4,2.2,18.5204,73.8567,209000.0
Mumbai,4090000.0,12,3,1,6,2.8,19.076,72.8777,206000.0
Bangalore,4713000.0,28,3,1,2,2.6,12.9716,77.5946,317000.0
Mumbai,3663000.0,26,1,1,3,3.2,19.076,72.8777,222000.0
Lucknow,3265000.0,29,1,1,2,1.3,26.8467,80.9462,121000.0
Delhi,4651000.0,19,5,3,9,4.0,28.7041,77.1025,161000.0
Hyderabad,519000.0,1,2,1,6,2.2,17.385,78.4867,38000.0
Ahmedabad,3339000.0,48,5,2,2,1.6,23.0225,72.5714,289000.0
Bangalore,2406000.0,35,3,1,4,1.4,12.9716,77.5946,173000.0
Kolkata,2259000.0,24,2,1,2,3.0,22.5726,88.3639,225000.0
Bangalore,2956000.0,35,4,3,5,1.5,12.9716,77.5946,276000.0
Pune,3436000.0,2,3,2,1,1.6,18.5204,73.8567,192000.0
Lucknow,2233000.0,12,1,1,1,3.3,26.8467,80.9462,133000.0
Mumbai,1587000.0,24,3,2,3,4.2,19.076,72.8777,150000.0
Kolkata,1539000.0,24,3,2,7,2.0,22.5726,88.3639,97000.0
Kolkata,951000.0,46,1,1,6,1.5,22.5726,88.3639,75000.0
Chennai,2583000.0,15,5,1,9,2.4,13.0827,80.2707,162000.0
Pune,2892000.0,22,1,1,5,3.6,18.5204,73.8567,139000.0
Kolkata,4124000.0,6,2,1,3,1.9,22.5726,88.3639,142000.0
Pune,3104000.0,1,5,1,3,4.8,18.5204,73.8567,108000.0
Pune,3932000.0,24,5,2,1,2.8,18.5204,73.8567,280000.0
Lucknow,848000.0,20,3,2,3,4.8,26.8467,80.9462,76000.0
Jaipur,1803000.0,29,1,1,8,3.5,26.9124,75.7873,86000.0
Ahmedabad,721000.0,15,2,1,8,2.1,23.0225,72.5714,68000.0
Hyderabad,650000.0,26,2,1,7,2.1,17.385,78.4867,64000.0
Mumbai,3902000.0,38,1,1,9,4.6,19.076,72.8777,381000.0
Kolkata,4611000.0,17,3,1,4,1.9,22.5726,88.3639,275000.0
Kolkata,1815000.0,25,2,1,9,1.0,22.5726,88.3639,159000.0
Lucknow,559000.0,44,1,1,6,2.1,26.8467,80.9462,23000.0
Ahmedabad,3019000.0,22,1,1,4,1.5,23.0225,72.5714,248000.0
Kolkata,207000.0,42,3,2,8,1.4,22.5726,88.3639,9000.0
Mumbai,3758000.0,11,3,1,2,1.9,19.076,72.8777,218000.0
Delhi,4023000.0,8,5,2,3,2.6,28.7041,77.1025,326000.0
Mumbai,946000.0,43,3,2,4,1.3,19.076,72.8777,48000.0
Kolkata,403000.0,17,2,1,1,2.1,22.5726,88.3639,26000.0
Kolkata,4965000.0,1,5,1,5,3.0,22.5726,88.3639,402000.0
Hyderabad,1079000.0,42,4,1,5,2.1,17.385,78.4867,100000.0
Kolkata,1122000.0,9,3,2,3,3.5,22.5726,88.3639,79000.0
Bangalore,2052000.0,25,1,1,3,1.7,12.9716,77.5946,70000.0
Ahmedabad,3925000.0,37,5,3,4,1.5,23.0225,72.5714,178000.0
Hyderabad,1424000.0,23,4,2,5,3.9,17.385,78.4867,126000.0
Lucknow,4661000.0,44,4,2,3,2.8,26.8467,80.9462,166000.0
Kolkata,2932000.0,43,2,1,4,5.0,22.5726,88.3639,114000.0
Delhi,3497000.0,7,2,1,9,4.9,28.7041,77.1025,192000.0
Chennai,3731000.0,30,1,1,8,2.8,13.0827,80.2707,236000.0
Hyderabad,2094000.0,29,1,1,2,2.5,17.385,78.4867,105000.0
